GateI,GateV,DrainI,,
-1.36E-11,-1.35E+01,5.55E-12,,5.55E-11
-1.41E-11,-1.40E+01,5.47E-12,,5.47E-11
-1.50E-11,-1.45E+01,5.40E-12,,5.40E-11
-1.25E-11,-1.50E+01,5.45E-12,,5.45E-11
-1.23E-11,-1.55E+01,5.37E-12,,5.37E-11
-9.92E-12,-1.60E+01,5.35E-12,,5.35E-11
-9.75E-12,-1.65E+01,5.35E-12,,5.35E-11
-6.58E-12,-1.70E+01,5.34E-12,,5.34E-11
-7.18E-12,-1.75E+01,5.30E-12,,5.30E-11
-6.53E-12,-1.80E+01,5.27E-12,,5.27E-11
-6.06E-12,-1.85E+01,5.31E-12,,5.31E-11
-5.98E-12,-1.90E+01,5.30E-12,,5.30E-11
-9.72E-12,-1.95E+01,5.30E-12,,5.30E-11
-8.94E-12,-2.00E+01,5.31E-12,,5.31E-11
